# 町タイルマップ設計図 (30x35)
# Generated from 町タイルマップ設計図.html
# セルタイプ: ground, path, path-main, plaza, pharmacy, pharmacy-roof,
#   weapon, weapon-roof, tavern, tavern-roof, exchange, exchange-roof,
#   fortune, fortune-roof, tree, bush, rock, fence, bench, entry,
#   wall, door, water
ground,ground,ground,ground,ground,ground,ground,ground,ground,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,ground,ground,ground,ground,ground,bush,ground,ground,tree
tree,ground,rock,ground,ground,ground,ground,ground,ground,plaza,plaza,plaza,plaza,plaza,bench,plaza,plaza,plaza,plaza,plaza,plaza,ground,ground,ground,ground,ground,ground,ground,ground,ground
ground,ground,ground,ground,bush,ground,ground,ground,ground,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,plaza,ground,ground,ground,ground,ground,water,water,ground,ground
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,water,ground,ground,ground
ground,tree,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,tree,ground,ground,ground,ground
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,ground,ground,ground,bush,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground
tree,ground,ground,ground,ground,ground,ground,ground,ground,ground,tree,ground,ground,path-main,path-main,ground,ground,ground,ground,ground,rock,ground,ground,ground,ground,ground,ground,ground,ground,tree
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground
ground,tree,ground,ground,ground,ground,ground,ground,ground,ground,fence,fence,ground,path-main,path-main,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,bush,ground,ground
ground,ground,ground,ground,ground,ground,tree,ground,ground,ground,ground,ground,ground,path-main,path-main,ground,pharmacy-roof,pharmacy-roof,pharmacy-roof,pharmacy-roof,pharmacy-roof,pharmacy-roof,ground,ground,ground,ground,ground,ground,ground,ground
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,ground,ground,ground,ground,ground,ground,tree,ground
tree,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,ground,bush,bush,ground,ground,ground,ground,ground
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,door,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,ground,bush,ground,ground,ground,ground,ground,ground
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,ground,ground,ground,ground,ground,ground,ground,ground
ground,ground,ground,ground,ground,ground,ground,tree,ground,ground,ground,tree,ground,ground,path-main,path-main,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,ground,ground,ground,ground,ground,ground,ground,tree
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,pharmacy,ground,ground,ground,ground,ground,ground,ground,ground
tree,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,ground,ground,ground,ground,ground,ground,ground,ground,tree,ground,ground,ground,ground,ground
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground
ground,tree,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,path-main,path-main,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,tree
ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,tree,ground,ground,entry,entry,entry,entry,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground,ground
ground,ground,ground,tree,ground,ground,ground,tree,ground,ground,ground,ground,ground,entry,entry,entry,entry,ground,ground,ground,ground,ground,tree,ground,ground,ground,tree,ground,ground,ground
